location,bhk,total_sqft,,balcony
Kudlu Gate,3,2003,,3
Kanakpura Road,3,1810,,3
Devanahalli,3,1515,,2
8th Phase JP Nagar,2,1192,,3
Bommasandra Industrial Area,2,1280,,1
Chandra Layout,2,1117,,1
Hennur Road,3,3000,,2
Yelahanka,5,3000,,1
Kasavanhalli,3,2400,,0
ISRO Layout,3,1903,,1
Anandapura,2,1080,,2
Vishveshwarya Layout,2,1270,,2
Kothanur,3,1420,,1
Kengeri Satellite Town,3,1850,,1
Basavanapura,2,1245,,1
Dinnur,2,1175,,1
Mysore Road,3,1400,,1
Kannamangala,3,2225,,1
 Devarachikkanahalli,2,1050,,1
Sanjeevini Nagar,2,1100,,0
Hulimavu,2,918,,1
Electronic City Phase II,3,1450,,1
Kalena Agrahara,2,1190,,1
Thanisandra,3,1420,,2
Thanisandra,3,1680,,2
Mahalakshmi Layout,2,980,,2
Yarandahalli,2,1180,,2
Hosa Road,3,1400,,1
Keshava Nagar,2,1270,,1
Whitefield,4,2503,,0
RMV Extension,3,2200,,2
Sarjapur,3,1575,,2
Tejaswini Nagar,3,1850,,2
Electronic City,3,1575,,2
Electronic City,3,1850,,2
Jai Bheema Nagar,3,1680,,2
Kothnur Narayanapura,2,1175,,2
Attibele,2,1215,,2
Electronic City,2,1050,,1
Electronic City,3,1300,,2
CV Raman Nagar,2,1130,,2
CHIKKATIRUPATHI,3,1450,,2
Kumaraswami Layout,2,1050,,1
Nagavara,2,1275,,1
Malleshwaram,3,1650,,2
Electronic City,2,850,,2
Hulimavu,3,1680,,2
Hebbal Kempapura,3,1850,,1
Thanisandra,2,1236,,2
Vijayanagar,2,1000,,2
Electronic City,3,1680,,2
8th block Koramangala,3,1675,,2
Jakkuru Layout,2,1187,,1
Electronic City,3,1850,,2
KR Puram,2,1000,,1
Marathahalli,3,1460,,2
Kanakpura Road,3,1650,,3
Pattandur Agrahara,2,1200,,2
Bellandur,2,1000,,1
Ejipura,2,1080,,2
Marathahalli,3,1680,,3
Yelahanka,3,1460,,1
Kothanur,2,1120,,2
MS Pallya,2,1100,,1
HSR Layout,3,1790,,3
Nagasandra,3,1680,,2
EPIP Zone,2,1050,,1
Langford Town,2,1050,,1
Whitefield,2,1040,,1
Whitefield,3,1400,,1
Kadugodi,3,1800,,2
Yelahanka,2,1050,,0
Kogilu,2,1000,,2
Panathur,3,1680,,2
Nagondanahalli,2,1050,,1
Padmanabhanagar,2,1270,,1
1st Block Jayanagar,3,1680,,2
Kammasandra,2,1130,,2
"Off Sarjapur Road, ",3,1680,,3
Electronics City Phase 1,2,980,,1
Tala Cauvery Layout,3,1680,,2
Dasarahalli,3,2095,,2
Magadi Road,3,1976,,1
Electronic City,3,1600,,2
Ngef Layout,3,1765,,2
Sarjapur  Road,3,1275,,2
Sarjapur  Road,3,1450,,1
Koramangala,3,1575,,2
"Lakshminarayanapura, Electronic City Phase 2",1,750,,2
Sarjapur  Road,2,990,,2
Devanahalli,1,1000,,1
Muthurayya Swamy Layout,3,1430,,1
7th Phase JP Nagar,2,1128,,1
Shantiniketan Layout,2,1140,,1
Hebbal,3,1420,,2
Dommasandra,2,1530,,1
Budigere,2,1100,,2
Dodda Nekkundi Extension,2,1073.5,,0
Mylasandra,2,1062,,1
Electronic City,3,1455,,2
Kalyan nagar,2,1098,,1
Dr Shivarama Karantha Nagar,3,1800,,1
Bank Of Baroda Colony,4,2700,,2
Vijayanagar,2,1080,,2
Ramamurthy Nagar,2,1059,,2
Kullappa Colony,2,1080,,2
Chandapura,2,1062,,1
Mukkutam Nagar,1,500,,1
Chandapura,2,1100,,2
Ashwath Nagar,4,2100,,3
Ncpr Industrial Layout,2,1035,,1
Electronic City,2,909,,1
Electronic City,3,1431.5,,0
Kothanur,3,1900,,1
Meenakunte,1,500,,1
OMBR Layout,2,1125,,2
Chandapura,2,1100,,3
Anand Nagar,2,1089,,1
7th Phase JP Nagar,3,1605,,2
Shree Ananth Nagar Layout,3,1504,,2
Kundalahalli Colony,4,2600,,2
Horamavu Agara,2,1089,,1
Sarjapur  Road,2,1513,,3
Electronic City,2,1298,,1
MCECHS  layout,2,1006,,0
Coffee Board Layout,2,1245,,1
Ambedkar Nagar,2,1510,,3
Vijayanagar,3,3300,,2
Raja Rajeshwari Nagar,2,1046,,1
Budigere,3,1408,,2
Sarjapur  Road,3,1846,,2
Attibele,2,1410,,0
KUDLU MAIN ROAD,2,1165,,1
Hennur Road,3,2400,,2
Geleyara Balaga Layout,1,700,,0
Kalena Agrahara,4,1440,,1
Sarjapur,2,1005,,1
Talaghattapura,2,1035,,1
Kengeri Satellite Town,4,5000,,3
Sundara Nagar,2,1164,,1
Kogilu,2,1005,,1
Hegde Nagar,2,1127,,1
Balagere,2,1005,,1
Meenakunte,2,835,,0
Kadugodi,2,1050,,2
Jigani,2,1466,,2
Gollarapalya Hosahalli,3,1890,,1.584375738
7th Phase JP Nagar,2,1079,,1
Srirampura,2,1480,,1
Electronics City Phase 1,2,1073,,1
Bisuvanahalli,3,1719.3,,2
Old Madras Road,3,1780,,2
Kalena Agrahara,2,890,,2
Kaggadasapura,2,1331.95,,2
Silver Springs Layout,1,600,,1
Chandapura,1,1500,,0
Kanakpura Road,2,1100,,3
Haralur Road,2,1028,,1
Electronic City Phase II,2,1199,,2
Hebbal,2,1080,,2
9th Phase JP Nagar,2,1123,,2
Jakkur,2,1308,,1
TC Palaya,2,1005,,1
Maruthi Sevanagar,3,1450,,2
RMV 2nd Stage,2,1040,,1
Giri Nagar,3,1936,,0
Sarjapur  Road,2,1075,,1
Singasandra,3,1650,,2
Kalena Agrahara,3,1310,,3
Vijayanagar,2,1100,,1
Kothanur,2,1100,,1
AECS Layout,2,1190,,2
Kanakpura Road,2,1100,,2
Mallasandra,2,985,,1
Begur,1,765,,2
JP Nagar,2,880,,1
Panathur,2,795,,1
Sunder Ram Shetty Nagar,2,1005,,1
Yelahanka,2,1020,,1
Kanakpura Road,2,985,,1
Malleshpalya,6,2500,,0
Srirampura,2,795,,1
Kodathi,2,1130,,1
Whitefield,2,795,,1
Munnekollal,2,985,,1
Motappa Layout,2,1000,,1
Hennur Road,2,995,,1
Electronic City,2,1020,,1
Marathahalli,1,800,,0
Akshaya Vana,3,1350,,0
Rajaji Nagar,3,2250,,1
Giri Nagar,2,1053,,0
Haralur Road,2,1388,,3
Manayata Tech Park,2,1070,,1
Kaval Byrasandra,2,1280,,1.584375738
Kaggalipura,3,1662,,3
Basavanna Nagar,3,1897,,2
Sarjapur  Road,3,1410,,2
Haralur Road,3,1360,,2
6th Phase JP Nagar,3,1410,,2
Ulsoor,3,1662,,2
Whitefield,3,1662,,2
Uttarahalli,2,1280,,1
Thigalarapalya,3,1666,,1.584375738
Somasundara Palya,3,1575,,1.584375738
T.C PALYA,3,1430,,2
Muneshwara Nagar,3,1419,,3
 Devarachikkanahalli,2,1280,,1
Kalena Agrahara,2,1200,,1
7th Phase JP Nagar,2,1092,,1
Kanakpura Road,3,1690,,2
Basaveshwara Nagar,3,1897,,2
Bull Temple Road,3,1884,,3
Bommasandra,2,1314,,2
Prashanth Nagar,3,1690,,2
Suragajakkanahalli,2,1265,,3
Ardendale,2,1126,,1
Harlur,3,1662,,1.584375738
Sampigehalli,3,1420,,2
Akshaya Nagar,3,1412,,3
Electronic City Phase II,3,1434,,3
RMV,3,1890,,2
Banashankari3rd stage bigbazar,3,1419,,3
Bagalur Main Road,2,1300,,1
Kodihalli,3,1690,,2
Magadi Road,2,1113,,1
Narayanapura,3,1820,,2
MS Pallya,2,1100,,2
Binny Mills Employees Colony,3,1896,,2
Bannerghatta Road,2,1300,,2
Hennur,2,1225,,0
Chandapura,2,1179,,1
Bellandur,3,1421,,2
5th Phase JP Nagar,3,1893,,2
KR Puram,2,900,,1
Balagere,4,4000,,3
Hebbal,3,1300,,1
Kodigehaali,3,1280,,2
Bannerghatta Road,3,1260,,1
Gopalapura,2,1427,,2
Begur Road,3,1693,,2
Lakshminarayana Pura,2,1210,,1
Billekahalli,3,1519,,2
8th Phase JP Nagar,3,1595,,2
Electronic City,2,1230,,1
Jalahalli,1,595,,1
Hegde Nagar,2,1145,,2
Mahadevpura,6,2400,,0
Anekal,2,1380,,1
Begur Road,3,1320,,1
Kengeri,2,1240,,1.584375738
Kanakpura Road,2,1050,,2
"Hoodi Circle, ",2,1190,,2
Vijayanagar,1,530,,1
Vijayanagar,1,425,,1
7th Phase JP Nagar,3,1355,,1
Raja Rajeshwari Nagar,2,1105,,1
Sompura,3,1800,,3
Yeshwanthpur,2,1150,,2
Electronics City Phase 1,2,1250,,2
Ashirvad Colony,2,1332,,1
Doddathoguru,3,1730,,1
Dodda Nekkundi,2,1230,,2
K N Extension,2,1351,,1
Hosur Road,2,1303,,2
Chandapura,3,1607,,2
Whitefield,1,770,,2
Whitefield,2,1700,,2
Battarahalli,2,1060,,1
Gokula Extension,3,1650,,3
7th Phase JP Nagar,3,1607,,2
Kamakshipalya,2,1198,,2
Bannerghatta Road,2,1468,,1
Rajaji Nagar,2,1463,,1
Rajaji Nagar,3,1910,,1
Sultan Palaya,2,1464,,1
Kengeri,3,1935,,2
Sanne Amanikere,2,1424,,2
Kengeri,3,2225,,2
Mahalakshmi Layout,3,1862,,2
Kanakpura Road,3,1850,,3
Amco Colony,3,1936,,2
Billekahalli,3,1862,,2
Nagarbhavi,2,1424,,2
Anandapura,3,2150,,2
Bommasandra Industrial Area,4,3530,,2
TC Palaya,3,1856,,1
Budigere,3,1852,,2
Bommasandra,3,1850,,2
Ambalipura,2,1367,,2
Hoodi,4,3565,,3
Chandapura,2,1409,,2
Balagere,3,1950,,2
CV Raman Nagar,3,1921,,3
Samethanahalli,3,1920,,2
Marathahalli,3,1935,,2
Hosur Road,3,1852,,2
Brookefield,3,1950,,2
Yelenahalli,3,1852,,2
Raja Rajeshwari Nagar,3,1850,,2
7th Phase JP Nagar,2,1425,,1
Richmond Town,3,2395,,2
Suddaguntepalya,3,1605,,2
Udayapur Village,3,1300,,1
Dasanapura,2,1175,,2
Kasavanhalli,2,900,,1
Whitefield,2,1200,,2
Bellandur,3,1900,,1
7th Phase JP Nagar,2,924,,1
Sarjapur  Road,2,900,,1
Ardendale,2,1100,,1
Vittasandra,2,1200,,1
Hoodi,3,1450,,1
Electronic City,2,1200,,2
Harlur,2,1250,,2
Hulimavu,2,1190,,2
Raja Rajeshwari Nagar,2,1202,,1
Giri Nagar,2,1340,,1
Sarjapur  Road,3,2650,,0
Thippasandra,3,1450,,1
Hormavu,2,1025,,1
Chikkabidarakallu,1,485,,1
Chandapura,2,1350,,1
AECS Layout,2,1365,,2
Marathahalli,2,1000,,1
1 Giri Nagar,2,1060,,2
Harlur,2,1135,,3
Electronic City Phase II,3,3515,,1
Hoysalanagar,3,1080,,2
Padmanabhanagar,2,1200,,0
Chikkalasandra,3,2010,,3
Defence Colony,2,1167,,1
Hebbal,2,1000,,1
Ambalipura,2,1141,,1
Akshaya Nagar,2,1200,,1
2nd Stage Nagarbhavi,2,1151,,1
Vidyaranyapura,2,1141,,1
Amruthahalli,2,900,,0
ITI Employees Layout,4,1749,,0
Whitefield,2,1151,,1
Koramangala,2,1250,,2
Kodigehalli,2,1151,,1
Patelappa Layout,2,1200,,0
Ring Road Nagarbhavi,3,1200,,0
NS Palya,3,1415,,1
Subramanyapura,2,1200,,1
RMV 2nd Stage,2,1141,,1
Basavangudi,2,1200,,2
Kenchenahalli,3,1600,,2
3rd Block Hrbr Layout,1,500,,1
KUDLU MAIN ROAD,2,1100,,2
7th Phase JP Nagar,2,982,,2
Bank Avenue,1,500,,2
Chikkalasandra,2,900,,2
Hebbal Kempapura,2,908,,1
Surabhi Layout,2,937,,1
Old Madras Road,2,960,,3
Banjara Layout,1,500,,1
Hoodi,2,1000,,1
5th Phase JP Nagar,2,850,,1
Electronic City,2,902,,1
Omkar Nagar,3,1470,,2
Yelahanka,2,810,,1
Kereguddadahalli,2,890,,1
Bisuvanahalli,2,1200,,1
Whitefield,3,1319,,1
Maragondanahalli,2,1000,,3
Lingadheeranahalli,2,902,,2
Silk Board,2,930,,1
Hoodi,2,1074,,2
Shampura,1,500,,1
Vidyaranyapura,2,1010,,2
Kada Agrahara,2,992,,2
JP Nagar,2,1200,,1
Kambipura,1,600,,1
Sarjapur  Road,2,925,,1
BHEL Layout,1,530,,1
Medahalli,3,1800,,2
Vittasandra,2,1200,,1
8th Phase JP Nagar,2,1035,,2
Banashankari Stage III,2,888,,1
Kashi Nagar,2,1200,,1
Haralur Road,2,700,,0
Begur Road,2,1200,,1
Sector 7 HSR Layout,2,766,,2
Hosur Road,3,1150,,2
"Yemlur, Old Airport Road, ",2,1200,,1
VHBCS Layout,2,1200,,1
Electronic City,1,400,,1
Whitefield,1,456,,1
Jakkur,2,1200,,1
KR Puram,2,1200,,1
Ittamadu,3,2400,,0
Electronic City Phase II,2,1200,,1
Thanisandra,2,1200,,1
Rajiv Nagar,1,420,,1
Ramagondanahalli,2,1140,,2
Gattahalli,4,1850,,2
Arekere,2,1070,,2
Bannerghatta Road,3,1500,,1
Hebbal,2,1070,,2
Ramanjaneyanagar,2,950,,1
HSR Layout,3,1280,,2
Magadi Road,2,710,,0
Mico Layout,2,950,,0
7th Block Jayanagar,4,1800,,2
Kanakpura Road,3,1843,,1
Whitefield,2,1076,,1
Byatarayanapura,2,950,,0
Electronic City,2,1348,,0
Whitefield,2,1105,,2
2nd Phase JP Nagar,1,540,,0
Uttarahalli,2,1075,,2
Kammanahalli,3,1567,,1
K G Colony,1,610,,0
Hennur Road,3,1750,,2
Hebbal,4,3198,,3
Munnekollal,4,2422,,2
Yelahanka,3,1750,,3
Banashankari,4,3200,,1
Hosa Road,3,1728,,2
Herohalli,4,2062,,1.584375738
Chikkabanavar,3,1732.46,,2
Kanakpura Road,4,2062,,1.584375738
Attibele,2,1224,,2
Marathahalli,3,1777.26,,2
3rd Block Hrbr Layout,3,1650,,3
Bannerghatta Road,4,2062,,1.584375738
Ittamadu,3,1650,,3
7th Phase JP Nagar,2,1224,,2
Bommasandra,3,1723,,2
Electronics City Phase 1,3,1777.26,,2
HRBR Layout,3,1777.26,,2
Sarjapur  Road,3,1350,,2
,3,2060,,2
Ashwini layout,2,920,,1
Whitefield,3,1740,,1.584375738
Sarjapur  Road,2,1190,,2
Vittasandra,1,600,,1
Sarjapur  Road,3,2072,,2
Marathalli bridge,2,1100,,2
Banashankari Stage III,2,900,,3
Marathahalli,2,1240,,2
T.C PALYA,2,900,,1
Harlur,2,1000,,2
Sarjapur  Road,2,1100,,1.584375738
Gottigere,4,2050,,1
Byatarayanapura,4,8321,,2
Hormavu,3,1644,,3
Whitefield,3,1640,,3
Dooravani Nagar,2,1220,,3
Mysore Road,2,936,,2
Jigani,2,936,,2
Koramangala,2,1100,,2
JCR Layout,1,834,,1
Nehru Nagar,1,834,,1
Kanakapura,2,1127,,2
Harlur,2,1125,,2
Papareddipalya,1,450,,1
Venkatapura,4,1600,,0
Sanjay nagar,1,400,,1
HSR Layout,1,400,,1
Sneha Colony,1,400,,1
RMV Extension,1,500,,1
Sarjapur  Road,4,2168,,2
Kalena Agrahara,1,395,,1
Konanakunte,1,420,,1
Hosapalya,1,418,,1
Ashwini layout,2,1200,,2
Doddagubbi,1,400,,1
Arekere,2,850,,1
Malleshwaram,3,2400,,3
Gottigere,1,450,,1
Raja Rajeshwari Nagar,1,782,,0
Bisuvanahalli,1,400,,1
Sector 6 HSR Layout,1,460,,1
Brookefield,1,418,,1
Vidyaranyapura,2,1000,,1
Thanisandra,1,550,,1
Kaggadasapura,1,410,,1
Margondanahalli,3,1700,,1
ITI Layout,1,400,,1
Raja Rajeshwari Nagar,1,520,,1
R.T. Nagar,2,1200,,0
Whitefield,7,4000,,1
Whitefield,1,400,,0
Hebbal,2,1250,,1
HRBR Layout,1,600,,0
Bannerghatta Road,2,1000,,1
Kanakapura,2,975,,1
Tumkur Road,3,2300,,3
Whitefield,1,833,,1
Vasanthapura,3,2045,,2
Kundalahalli,2,1236,,1
Mysore Road,2,1190,,1
Hosahalli,2,1300,,1
Hegde Nagar,2,1313,,1
Jalahalli,3,1460,,3
Bellandur,3,1405,,2
Jalahalli West,2,1060,,1
Marathahalli,2,1020,,2
Kambipura,2,1020,,1
GM Palaya,3,1765,,2
Singasandra,2,1075,,2
near Ramanashree California resort,4,2700,,2
Malleshwaram,3,1600,,2
Mahadevpura,2,1050,,0
"6th block banashankari 3rd stage, 100 feet ORR",2,1500,,0
Chikkalasandra,3,1800,,2
Jalahalli East,2,1060,,1
6th Phase JP Nagar,2,999,,3
Haralur Road,5,2400,,1
Hennur Road,2,1194,,1
Poornapragna Housing Society Layout,2,1200,,2
Arekere,2,2400,,1
Hosakerehalli,2,1194,,1
Sarjapur,2,975,,2
Hebbal,2,865,,2
Huskur,1,375,,0
Sarjapur  Road,3,1717,,2
Kanakpura Road,2,950,,1
Bommasandra,3,1850,,1.584375738
Haralur Road,2,1200,,2
Nagondanahalli,2,1274,,2
Horamavu Agara,2,1070,,1
Raja Rajeshwari Nagar,2,1280,,2
Mahadevpura,2,1100,,2
Yelahanka,2,1000,,2
Yelahanka,5,2990,,3
Indira Nagar,2,1265,,2
Bisuvanahalli,3,2200,,3
Thanisandra,3,2780,,1
Shanthala Nagar,3,2400,,0
Raja Rajeshwari Nagar,2,965,,2
Shantiniketan Layout,2,1147,,1
JP Nagar,3,1750,,3
Herohalli,2,1400,,3
Teachers Colony,2,1200,,2
Bettahalsoor,2,1100,,2
Srinivasa Nagar,2,930,,2
Yelahanka,3,2500,,2
Langford Town,2,1350,,0
Sulthangunta,2,1150,,2
Hormavu,6,3300,,3
Bannerghatta Road,3,1450,,2
Byrathi Village,3,1776,,3
Kodichikkanahalli,3,1458,,2
OMBR Layout,2,935,,1
Marathahalli,2,1020,,1
Ambedkar Colony,3,1600,,2
Akshaya Nagar,3,1300,,1
Brookefield,3,1540,,2
Whitefield,1,450,,1
Lingadheeranahalli,2,1196,,2
Kaggadasapura,3,1470,,2
Hoodi,2,1100,,2
Bannerghatta Road,2,700,,1
Varthur Road,3,1611,,2
Anjappa Layout,3,1675,,3
Avalahalli,2,1141,,1
Prakruthi Nagar,2,1500,,2
Surabhi Layout,2,1050,,3
Sadaramangala,2,1141,,1
Anjanapura,3,1230,,3
Abbigere,2,1105,,1
Tindlu,3,1410,,3
Electronic City,2,1450,,1
Maruthi Sevanagar,2,1100,,2
JP Nagar,2,1061,,1
Kothanur,2,1061,,1
B Narayanapura,2,1061,,1
Electronic City Phase II,2,1245,,2
Hennur Road,3,1494,,2
Dommasandra,2,1274,,1
Kammasandra,3,1842,,2
Green Garden Layout,3,1494,,2
Hebbal,2,1274,,1
Chandapura,3,1494,,2
Koramangala,3,1842,,2
Begur Road,3,1842,,2
Whitefield,3,1842,,2
Silver Springs Layout,4,2360,,2
Gubbalala,1,560,,1
Kengeri,2,1050,,0
7th Phase JP Nagar,2,1200,,3
Dairy Circle,2,985,,2
Bannerghatta Road,2,1407,,1
Hulimavu,4,2400,,3
Electronic City,5,4400,,1
Budigere,2,1220,,2
Hoysalanagar,2,1210,,1
Parappana Agrahara,2,1210,,1
Jakkur,2,1205,,1
Jeevan bima nagar,1,790.5,,0
Raja Rajeshwari Nagar,2,1020.07,,1
Narayana Nagar 1st Block,2,1205.47,,1
Haralur Road,2,1007,,1
KSRTC Layout,2,1210,,1
Panathur,2,1210,,1
Kaval Byrasandra,1,675,,1
Sarjapur,1,656,,1
Ramagondanahalli,2,1012,,1
Hosakerehalli,2,1007,,1
Banashankari,2,1007,,1
Kengeri Satellite Town,2,1007,,1
EPIP Zone,1,645,,1
Whitefield,1,790.5,,0
P&T Colony,2,1012,,1
Whitefield,1,656,,1
Cunningham Road,1,645,,1
Anekal,1,645,,1
New Gurappana Palya,2,1210,,1
Mahadevpura,1,656,,1
Chelekare,2,1205,,1
Ambedkar Colony,2,1012,,1
Palanahalli,2,1007,,1
Whitefield,2,1205,,1
Hegde Nagar,2,1012,,1
Jakkur,2,1051,,1
Electronic City Phase II,1,825,,1
Thanisandra,3,1525,,3
Vadarpalya,3,1500,,2
Kudlu,3,1630,,2
Shivanagar,3,2008,,2
Hulimavu,3,1560,,2
Varthur Road,3,1525,,2
5th Phase JP Nagar,3,1500,,2
Uttarahalli,2,1077,,2
V.V Puram,3,1470,,1
Yeshwanthpur,3,1300,,2
Electronic City,3,1800,,2
Old Airport Road,2,1125,,1
Kundalahalli,2,1310,,2
Sarjapur,3,2600,,1
Koramangala,3,1900,,1
Marathahalli,2,1260,,3
Sector 3 HSR Layout,2,1170,,2
Vishwapriya Layout,3,1350,,0
Banashankari Stage VI,2,1330,,1
Battarahalli,3,1400,,1
HMT Layout,3,1700,,2
Basavanagara,2,1020,,2
Whitefield,2,1600,,1
Jalahalli,2,1041,,1
Hosakerehalli,1,2400,,1
Cox Town,2,1390,,2
Kammasandra,2,1460,,3
Kaggadasapura,2,1200,,1
 Thanisandra,2,1290,,2
Mylasandra,2,1186,,3
HSR Layout,3,1650,,2
Gottigere,2,1181,,1
Koramangala,2,1105,,2
Marathahalli,1,720,,1
Vidyaranyapura,2,1040,,3
Nagondanahalli,2,1330,,2
Bannerghatta Road,2,1200,,3
Bannerghatta Road,2,1185,,2
Thanisandra,2,1000,,1
Kaggadasapura,3,1650,,2
Kalasipalya,3,1650,,2
Kathriguppe,2,1310,,2
Gottigere,2,1430,,2
Electronic City,2,1020,,1
Thanisandra,3,1540,,3
Tumkur Road,3,1683,,2
Begur Road,3,1800,,2
JP Nagar,2,1175,,1
Haralur Road,2,1450,,2
7th Phase JP Nagar,3,1770,,3
Arekere,3,1800,,2
ITI Layout,3,1200,,2
Padmanabhanagar,2,1100,,1
HBR Layout,2,1020,,2
Richmond Town,2,1260,,3
Kasavanhalli,3,1426,,2
4 Bedroom Farm House in Bagalur,2,1700,,2
Bhoganhalli,3,1500,,1
Vittasandra,5,2400,,2
Anandapura,3,1240,,2
Hennur Road,2,1250,,2
Chandapura,3,1260,,1
Yelahanka New Town,3,2400,,2
Hebbal,2,1400,,1
Narayanapura,5,2800,,2
Sahakara Nagar,3,3000,,2
Electronic City,3,1200,,1
manyata park,2,1245,,1
Varthur,3,1305,,1
Rachenahalli,2,1145,,3
7th Phase JP Nagar,3,1650,,2
Yeshwanthpur,3,1350,,2
Panathur,3,1305,,1
Yelahanka,3,1305,,1
Kalyan nagar,2,1200,,0
Kanakpura Road,3,1305,,1
Whitefield,3,1480,,1
Thanisandra,3,1305,,1
7th Phase JP Nagar,2,1304,,0
Belathur,6,3000,,2
Vasanthapura,2,1085,,1
Hebbal,3,1500,,2
Electronic City,4,2100,,1
Kanakpura Road,3,1420,,2
TC Palaya,3,1300,,1
Nagarbhavi,3,1305,,2
Sadashiva Nagar,2,1035,,2
Kanakpura Road,3,1355,,1
Yelachenahalli,3,1510,,3
7th Phase JP Nagar,3,1650,,2
Kadugodi,3,1630,,2
Shirdi Sai Layout,3,1510,,3
Sarjapur  Road,3,1315,,2
Bisuvanahalli,3,1540,,2
1st Block Jayanagar,2,920,,1
8th Phase JP Nagar,2,1177.5,,0
Bannerghatta Road,4,4800,,3
Mallasandra,2,1160,,1
Marathahalli,2,1180,,1
Brookefield,3,1423,,1
Kodbisanhalli,3,1392,,1
