location,bhk,total_sqft,bath,price
Thigalarapalya,3,3122,3,95
Somasundara Palya,3,1600,3,90
T.C PALYA,3,1200,2,75
Muneshwara Nagar,3,1230,2,73
 Devarachikkanahalli,2,1250,2,60
Kalena Agrahara,2,1325,2,50
7th Phase JP Nagar,2,1850,2,60
Kanakpura Road,3,525,3,85
Basaveshwara Nagar,3,1200,4,93
Bull Temple Road,3,1350,3,98
Bommasandra,2,1260,2,68.8
Prashanth Nagar,3,1800,3,85
Suragajakkanahalli,2,11,2,67
Ardendale,2,1100,2,55
Harlur,3,1508,3,90
Sampigehalli,3,1592,2,75
Akshaya Nagar,3,1388,2,88
Electronic City Phase II,3,630,3,84
RMV,3,2000,4,100
Banashankari3rd stage bigbazar,3,1762,2,87
Bagalur Main Road,2,950,2,54
Kodihalli,3,3252,3,85
Magadi Road,2,1116,2,52
Narayanapura,3,1308,4,95
MS Pallya,2,1200,2,48
Binny Mills Employees Colony,3,1500,3,102
Bannerghatta Road,2,500,2,66
Hennur,2,1075,2,68
Chandapura,2,530,2,51
Bellandur,3,1205,2,73
5th Phase JP Nagar,3,1075,4,95
KR Puram,2,930,2,45
Balagere,4,1380,4,170
Hebbal,3,2483,2,49
Kodigehaali,3,1166,2,49
Bannerghatta Road,3,1050,2,49
Gopalapura,2,2023.71,2,52
Begur Road,3,1200,3,108
Lakshminarayana Pura,2,1600,2,76
Billekahalli,3,1935,3,67.23
8th Phase JP Nagar,3,451,3,70.39
Electronic City,2,1800,2,50
Jalahalli,1,1400,1,40
Hegde Nagar,2,1801,2,44
Mahadevpura,6,1451,6,130
Anekal,2,1200,2,75
Begur Road,3,1160,2,58
Kengeri,2,1000,2,43.79
Kanakpura Road,2,950,2,38
"Hoodi Circle, ",2,1629,2,46.41
Vijayanagar,1,1580,1,20
Vijayanagar,1,1826,1,15
7th Phase JP Nagar,3,1245,3,61
Raja Rajeshwari Nagar,2,1145,2,75
Sompura,3,825,3,110
Yeshwanthpur,2,1693,2,80
Electronics City Phase 1,2,1113.27,2,66.25
Ashirvad Colony,2,1460,2,79
Doddathoguru,3,1050,3,120
Dodda Nekkundi,2,1260,2,66.25
K N Extension,2,700,2,77
Hosur Road,2,1656,2,80
Chandapura,3,1208,2,112
Whitefield,1,1910,1,43.82
Whitefield,2,3252,2,76
Battarahalli,2,1200,2,58.5
Gokula Extension,3,1200,3,100
7th Phase JP Nagar,3,1175,2,112
Kamakshipalya,2,1000,2,80
Bannerghatta Road,2,1200,2,140
Rajaji Nagar,2,2390,1,142
Rajaji Nagar,3,12000,3,190
Sultan Palaya,2,550,2,145
Kengeri,3,34.46Sq. Meter,4,130
Sanne Amanikere,2,1185,2,90
Kengeri,3,750,4,169
Mahalakshmi Layout,3,1200,3,120
Kanakpura Road,3,1550,4,139
Amco Colony,3,1760,4,126
Billekahalli,3,1125,3,119
Nagarbhavi,2,1350,2,90
Anandapura,3,1000,4,125
Bommasandra Industrial Area,4,1090,4,290
TC Palaya,3,1200,3,120
Budigere,3,1991,3,130
Bommasandra,3,1060,4,120
Ambalipura,2,1105,2,86
Hoodi,4,985,4,255
Chandapura,2,1533,2,95
Balagere,3,1590,4,120
CV Raman Nagar,3,1120,4,129
Samethanahalli,3,1069,4,121
Marathahalli,3,1933,4,125
Hosur Road,3,1194,4,122
Brookefield,3,1150,4,120
Yelenahalli,3,1240,3,125
Raja Rajeshwari Nagar,3,1419,4,121
7th Phase JP Nagar,2,1200,2,94
Richmond Town,3,2150,4,150
Suddaguntepalya,3,1450,3,100
Udayapur Village,3,1630,2,80
Dasanapura,2,708,2,83
Kasavanhalli,2,1000,2,40
Whitefield,2,11890,2,55
Bellandur,3,1250,3,135
7th Phase JP Nagar,2,1400,2,45
Sarjapur  Road,2,1670,2,60
Ardendale,2,1750,2,45
Vittasandra,2,1404,2,55
Hoodi,3,1715,2,85
Electronic City,2,630,2,55
Harlur,2,1752.12,2,79
Hulimavu,2,1650,2,50
Raja Rajeshwari Nagar,2,1295,2,65
Giri Nagar,2,1800,2,75
Sarjapur  Road,3,1346,4,175
Thippasandra,3,1200,2,90
Hormavu,2,1150,2,42
Chikkabidarakallu,1,3309,1,19.5
Chandapura,2,1190,2,67.5
AECS Layout,2,1620,3,60
Marathahalli,2,950,2,51
1 Giri Nagar,2,5000,2,55
Harlur,2,2450,2,55
Electronic City Phase II,3,1220,3,420
Hoysalanagar,3,850,2,75
Padmanabhanagar,2,1020,2,70
Chikkalasandra,3,1100,3,125
Defence Colony,2,1150,2,43.76
Hebbal,2,1760,2,55
Ambalipura,2,1800,2,42.79
Akshaya Nagar,2,1070,2,58
2nd Stage Nagarbhavi,2,1500,2,43.1
Vidyaranyapura,2,1440,2,42.75
Amruthahalli,2,900,2,48
ITI Employees Layout,4,1200,4,90
Whitefield,2,1130,2,42.9
Koramangala,2,1320,2,45
Kodigehalli,2,1270,2,43.16
Patelappa Layout,2,1200,2,58
Ring Road Nagarbhavi,3,4800,2,66
NS Palya,3,1200,2,74
Subramanyapura,2,929,2,50
RMV 2nd Stage,2,1150,2,50
Basavangudi,2,1125,2,37
Kenchenahalli,3,500,3,77
3rd Block Hrbr Layout,1,1200,1,14
KUDLU MAIN ROAD,2,1464,2,31.5
7th Phase JP Nagar,2,3600,2,24.55
Bank Avenue,1,2000,2,14
Chikkalasandra,2,1208,2,22.5
Hebbal Kempapura,2,1130,2,26
Surabhi Layout,2,1753,2,35
Old Madras Road,2,4500,2,37
Banjara Layout,1,600,1,14
Hoodi,2,1196,2,29.7
5th Phase JP Nagar,2,1150,2,25.99
Electronic City,2,1128,2,25.26
Omkar Nagar,3,1000,3,54
Yelahanka,2,1035,2,25.5
Kereguddadahalli,2,950,2,27
Bisuvanahalli,2,1075,2,36
Whitefield,3,1040,3,42
Maragondanahalli,2,720,2,25
Lingadheeranahalli,2,1511,2,25
Silk Board,2,1300,2,25.99
Hoodi,2,1545,2,26.85
Shampura,1,375,1,14
Vidyaranyapura,2,1062,2,38
Kada Agrahara,2,1115,2,24.8
JP Nagar,2,1000,1,36
Kambipura,1,883,1,16.5
Sarjapur  Road,2,1195,2,40
BHEL Layout,1,1200,1,18
Medahalli,3,700,3,68
Vittasandra,2,1246,1,36
8th Phase JP Nagar,2,660,2,38.3
Banashankari Stage III,2,8500,2,34
Kashi Nagar,2,1600,2,36.1
Haralur Road,2,2805,1,19.4
Begur Road,2,1584,1,36
Sector 7 HSR Layout,2,3000,2,28
Hosur Road,3,1175,3,45
"Yemlur, Old Airport Road, ",2,1595,1,36
VHBCS Layout,2,1353,1,36
Electronic City,1,1599,1,11.5
Whitefield,1,1150,1,15
Jakkur,2,5230,1,36
KR Puram,2,1155,1,36
Ittamadu,3,1200,4,95
Electronic City Phase II,2,1000,2,36.1
Thanisandra,2,3000,2,36.1
Rajiv Nagar,1,1867,1,12.5
Ramagondanahalli,2,1251,2,52
Gattahalli,4,1028,4,86
Arekere,2,1222,2,39
Bannerghatta Road,3,1170,3,121
Hebbal,2,2400,2,37
Ramanjaneyanagar,2,1385,2,40
HSR Layout,3,1372,2,45
Magadi Road,2,1282,2,25
Mico Layout,2,5000,2,32
7th Block Jayanagar,4,3000,4,55
Kanakpura Road,3,1135,3,87.54
Whitefield,2,1768,2,30.13
Byatarayanapura,2,1325,2,30
Electronic City,2,1599,2,100
Whitefield,2,1500,2,50
2nd Phase JP Nagar,1,2610,1,22
Uttarahalli,2,1286,2,48
Kammanahalli,3,2845,3,100
K G Colony,1,1600,1,28
Hennur Road,3,1195 - 1440,3,100
Hebbal,4,3450,4,200
Munnekollal,4,1102,4,160
Yelahanka,3,1350,3,100
Banashankari,4,1200,4,205
Hosa Road,3,1300,3,95
Herohalli,4,1800,3,140
Chikkabanavar,3,950,3,92
Kanakpura Road,4,525,3,150
Attibele,2,656,2,70
Marathahalli,3,1780,3,105
3rd Block Hrbr Layout,3,1056,3,82
Bannerghatta Road,4,595,3,140
Ittamadu,3,1080,3,82
7th Phase JP Nagar,2,2225,2,67
Bommasandra,3,1126,3,95
Electronics City Phase 1,3,1490,3,89
HRBR Layout,3,2000,3,92
Sarjapur  Road,3,1550,2,65
,3,1600,3,140
Ashwini layout,2,1160,2,40
Whitefield,3,4144,2,95
Sarjapur  Road,2,2100,2,55
Vittasandra,1,1404,1,28
Sarjapur  Road,3,2230,3,108
Marathalli bridge,2,1544,2,55
Banashankari Stage III,2,1305,2,50
Marathahalli,2,1230,2,60
T.C PALYA,2,1200,2,44.5
Harlur,2,1460,2,53
Sarjapur  Road,2,1200 - 2400,2,53
Gottigere,4,967,3,100
Byatarayanapura,4,540,5,2912
Hormavu,3,715,3,84
Whitefield,3,2500,3,84
Dooravani Nagar,2,1578,2,65
Mysore Road,2,1020,2,42
Jigani,2,1020,2,43
Koramangala,2,1253,2,55
JCR Layout,1,1180,1,60
Nehru Nagar,1,961,1,62
Kanakapura,2,1419,2,55
Harlur,2,1709,2,55
Papareddipalya,1,1600,1,11
Venkatapura,4,416,4,52.8
Sanjay nagar,1,1100,1,11
HSR Layout,1,1430,1,12
Sneha Colony,1,1260,1,14
RMV Extension,1,1630,1,17
Sarjapur  Road,4,1249,4,95
Kalena Agrahara,1,1450,1,10.25
Konanakunte,1,2791,1,17
Hosapalya,1,600,1,12
Ashwini layout,2,834,2,42
Doddagubbi,1,1125,1,10
Arekere,2,2060,1,25
Malleshwaram,3,12000,3,120
Gottigere,1,891,1,12.5
Raja Rajeshwari Nagar,1,1133,1,19.55
Bisuvanahalli,1,1075,1,11.5
Sector 6 HSR Layout,1,3000,1,13
Brookefield,1,2440,2,11.5
Vidyaranyapura,2,1200,2,42
Thanisandra,1,1075,1,11.5
Kaggadasapura,1,1140,1,10
Margondanahalli,3,940,3,65
ITI Layout,1,2160,1,10.25
Raja Rajeshwari Nagar,1,1090,1,15
R.T. Nagar,2,1500,1,65
Whitefield,7,4104,8,150
Whitefield,1,1790,1,14
Hebbal,2,1920,2,60
HRBR Layout,1,1374,2,23
Bannerghatta Road,2,1445,2,60
Kanakapura,2,711,2,60
Tumkur Road,3,1500,3,120
Whitefield,1,1720,1,49
Vasanthapura,3,1400,3,108
Kundalahalli,2,1030,2,50
Mysore Road,2,1200,2,48
Hosahalli,2,1375,2,79
Hegde Nagar,2,1050,2,58.27
Jalahalli,3,2250,2,73
Bellandur,3,1000,2,70
Jalahalli West,2,469,2,49.27
Marathahalli,2,3800,2,60
Kambipura,2,883,2,49
GM Palaya,3,1820,3,77.27
Singasandra,2,1440,2,50
near Ramanashree California resort,4,3600,3,230
Malleshwaram,3,2500,2,88
Mahadevpura,2,1225,2,110
"6th block banashankari 3rd stage, 100 feet ORR",2,4000,2,203
Chikkalasandra,3,875,3,150
Jalahalli East,2,750,2,55
6th Phase JP Nagar,2,1180,2,45
Haralur Road,5,1194,4,225
Hennur Road,2,1500,2,65
Poornapragna Housing Society Layout,2,1160,2,67
Arekere,2,4125Perch,2,228
Hosakerehalli,2,2378,2,65
Sarjapur,2,1128,2,45
Hebbal,2,1500,2,33
Huskur,1,1220,1,40
Sarjapur  Road,3,1210,3,200
Kanakpura Road,2,1100,2,52
Bommasandra,3,1200,3,170
Haralur Road,2,3385,2,80
Nagondanahalli,2,1641,2,70
Horamavu Agara,2,1200,2,48
Raja Rajeshwari Nagar,2,1260,2,80
Mahadevpura,2,1720,2,70
Yelahanka,2,1120 - 1145,2,58
Yelahanka,5,1210,5,416
Indira Nagar,2,2200,2,55
Bisuvanahalli,3,1075,3,220
Thanisandra,3,1702,4,325
Shanthala Nagar,3,1630,2,360
Raja Rajeshwari Nagar,2,1141,2,56
Shantiniketan Layout,2,2072,2,75
JP Nagar,3,4400 - 6640,3,172
Herohalli,2,1200,2,90
Teachers Colony,2,1350,2,70
Bettahalsoor,2,3090 - 5002,2,47
Srinivasa Nagar,2,1180,2,46
Yelahanka,3,35000,3,345
Langford Town,2,1355,2,90
Sulthangunta,2,600,2,63
Hormavu,6,1200,6,165
Bannerghatta Road,3,1640,2,81
Byrathi Village,3,1200,2,75
Kodichikkanahalli,3,1190,3,79
OMBR Layout,2,2400,2,51.5
Marathahalli,2,1019,2,46.5
Ambedkar Colony,3,1875,3,112
Akshaya Nagar,3,1250,2,75
Brookefield,3,1200,2,78
Whitefield,1,1140,1,20
Lingadheeranahalli,2,1683,2,56.81
Kaggadasapura,3,1515,2,99
Hoodi,2,2118,2,52
Bannerghatta Road,2,1380,2,29
Varthur Road,3,1083,2,66
Anjappa Layout,3,600,3,75
Avalahalli,2,2300,2,46
Prakruthi Nagar,2,1240,2,57
Surabhi Layout,2,1750,2,45
Sadaramangala,2,1230,2,45.9
Anjanapura,3,1500,3,53
Abbigere,2,985,2,40
Tindlu,3,1500,2,65
Electronic City,2,1125,2,55.99
Maruthi Sevanagar,2,950,2,38
JP Nagar,2,4400 - 6800,2,33.84
Kothanur,2,1580,2,38.95
B Narayanapura,2,1092,2,34
Electronic City Phase II,2,1090,2,58
Hennur Road,3,2264,2,94.55
Dommasandra,2,1033,2,81
Kammasandra,3,810,3,115
Green Garden Layout,3,1045,2,94.55
Hebbal,2,1337,2,81
Chandapura,3,1200,2,94.55
Koramangala,3,1580,3,115
Begur Road,3,1500,3,115
Whitefield,3,1640,3,115
Silver Springs Layout,4,1570,4,150
Gubbalala,1,1470,1,21
Kengeri,2,1160,2,40
7th Phase JP Nagar,2,1050,2,50
Dairy Circle,2,1855,2,57
Bannerghatta Road,2,1460,2,83.87
Hulimavu,4,1823,4,135
Electronic City,5,1094,4,350
Budigere,2,1153,2,72
Hoysalanagar,2,1325,2,80.9
Parappana Agrahara,2,1200,2,72
Jakkur,2,1590,2,78.5
Jeevan bima nagar,1,1210,1,41.9
Raja Rajeshwari Nagar,2,1200,2,68.38
Narayana Nagar 1st Block,2,1202,2,81
Haralur Road,2,1202,2,65
KSRTC Layout,2,1200,2,74
Panathur,2,1688,2,83
Kaval Byrasandra,1,1020,1,45
Sarjapur,1,1185,1,43
Ramagondanahalli,2,1235,2,64
Hosakerehalli,2,3205,2,62
Banashankari,2,1077,2,67
Kengeri Satellite Town,2,1415,2,66
EPIP Zone,1,2330,1,34.18
Whitefield,1,805,1,42.295
P&T Colony,2,425,2,65
Whitefield,1,1155,1,38.77
Cunningham Road,1,5270,1,39
Anekal,1,656,1,41
New Gurappana Palya,2,1100,2,82
Mahadevpura,1,1150,1,34.77
Chelekare,2,600,2,73.87
Ambedkar Colony,2,1468,2,70
Palanahalli,2,4300,2,68
Whitefield,2,2280,2,79
Hegde Nagar,2,1341,2,68
Jakkur,2,1279,2,33
Electronic City Phase II,1,2225,2,40
Thanisandra,3,1185,2,122
Vadarpalya,3,1750,2,89.99
Kudlu,3,1152,2,97.78
Shivanagar,3,1000,3,170
Hulimavu,3,1300,2,125
Varthur Road,3,2760,2,91.48
5th Phase JP Nagar,3,1070,2,120
Uttarahalli,2,1101,2,37.64
V.V Puram,3,775,2,88.64
Yeshwanthpur,3,667,2,75
Electronic City,3,1070,3,115
Old Airport Road,2,1875,2,63
Kundalahalli,2,735,2,80
Sarjapur,3,4360,4,135
Koramangala,3,1750,2,170
Marathahalli,2,1215,2,75
Sector 3 HSR Layout,2,600,2,46.79
Vishwapriya Layout,3,820,2,83
Banashankari Stage VI,2,1160 - 1195,2,78
Battarahalli,3,1779,2,78
HMT Layout,3,1105,3,125
Basavanagara,2,1000Sq. Meter,2,40.79
Whitefield,2,1650,2,63.98
Jalahalli,2,1694,2,36.44
Hosakerehalli,1,2376,1,200
Cox Town,2,1975,2,86
Kammasandra,2,674,2,70
Kaggadasapura,2,1185,2,60
 Thanisandra,2,445,2,80
Mylasandra,2,900,2,65
HSR Layout,3,1475,3,101
Gottigere,2,1618,2,75
Koramangala,2,1120,2,90
Marathahalli,1,2181,1,60
Vidyaranyapura,2,1200,2,45
